;address;final_balance;n_tx;total_received;total_sent
20;bc1prefl8fm6wdqqvjpfqdjufmjtjakvq0mlj8lktdx6dctl6ha9n7eqrwnkt7;794163;87;205219331;204425168
21;1PG8b85t6kp6tU7xMkrE4XcZHFdyjuPf3P;763978;4;763978;0
22;bc1q94crz0q4dl4xmnl609ukvq3lrt5kyulepu8vew;1328709;39;23586646;22257937
23;bc1qgdxeurq49e7sh376t78tmh0xkpgtta7nf8er4c;342007;10;2354446;2012439
24;bc1qv9xlrypkfxzx8twxh225esvwu75973grnf5v06;1117585;12;19510378;18392793
25;bc1qjma6xxsdm5pcejmjkp0fr59chcyz2xpv9e22l5;90972;1;90972;0
26;19VspmX3YqMgRLu9U7DpJoq2PPQAu4RU8x;729940;57;65943755;65213815
27;1NAPo9Cu7id52ovb9KbiCui1GXiZUAvGqe;192632;13;76672156;76479524
28;bc1q4cy25rrdusehpjwc644ep94lt5md9a9lxau74e;2291849;21;2986635;694786
29;12jTjXyBJsmhD97CV5WgteshcDuSwhHio9;226819;18;529041;302222
30;1mAHDU6wPaDw8XH6YboeWbisDFCL2BobA;512077;91;295647762;295135685
31;bc1q7l8tr363c0r6m8978rmc32zvuv6u54ytfdcm2v;3956615;13;3956615;0
32;19YzcUfomZKk1FvtBboZ6fpDi1TpiHP9QS;76922;459;22622482;22545560
33;3Ghdt2qPTJiyRwy1UBf9T6Mih9sWRLdvem;637239;42;2565569;1928330
34;bc1qn5l2l073gfz9samkjyhg2kewyzgjyeh647g8xj;612740;5;612740;0
35;3MNBRsKWCzUcFUe7Qp34FMVXqf3jmY3wwa;111558;4;530533;418975
36;bc1q80npz9ndxmclz0kr0m85a5nlm583ldk8lw34h4;657642;19;6979423;6321781
37;bc1qt97xn5qq9rmx8ldluap9vxmv7w8hcm59d8mrtn;3241902;20;12262237;9020335
38;bc1q4t7m5drr64ma3ptux9k37ye93ja76ejgvdm066;514382;10;3501374;2986992
39;bc1qvzclyydkhsnznklj2vntsrtqr33hkyxwwn2pl4;7806316;14;7806316;0
40;1Pxg89uzEDdtDvErZAcKBVYMn3P3NKQ1D5;5159086;27;5159086;0
41;bc1q494r0rcz4zjxn2xlzjg7lf89a7lcahd9062g0s;481659;26;10989535;10507876
42;bc1qklv4t6w7qafeh63llg9xvptalg2dmp6s7f5hn6;47618680;20;47618680;0
43;1KjxmM2hXbL11RZjfYCeAe79WBV5hHvwUY;39618;33;314279;274661
44;bc1qszyar2z6mvkjhnaqty4lpvg0c06nf6zynzuafc;43871363;386;43871363;0
45;bc1qxhfn5gptnqx0p33rxsw62pgfkz5qtul08z974k;8608034;16;8608034;0
46;bc1qz3dg0yjhqs39n3dta869cq3n6q90c6vn32gwdr;28223044;3;28223044;0
47;1BR9UWLdxj4mt5uNed79Uf8AEhV3TMcCnE;398887;1;398887;0
48;bc1qkevdwfkk3muqajt58r05jumaq4wezcr2m6e7he;2049166;4;2049166;0
49;31hEn22qfRov2pf2hvgSiCNWCx5FZZNjpP;1039623;1699;99782896;98743273
50;bc1qya3qwweg6jkjvvd3ukc2ugt7n6p3qet03lctystrme7f5eaa6r0skw6fdk;4470643;104;171646517;167175874
51;1J7Ec4SC7kHEXDD9zswBDUQ7fHc4RwtypA;281463;87;24132050;23850587
52;1LhALw9UPobGzUrBzc2izasARAywHrVAxv;23970889;52;25009506;1038617
53;bc1qpdq700dv535e0538syvz2rrvaugrgzsge2ggje;339037;18;339037;0
54;bc1qzpzqeky6wvgqydqu7w0ctuh0p87hz8et2tpqpu;8400781;8;8400781;0
55;bc1q6h7w4wsel9ae30hxpncualq7a4exn4du22rvgv;19482;1;19482;0
56;1BG7FpmLgjRMKRGnqsFk32ixKaJRKY4brM;128926;205;433098254;432969328
57;1FPq7NJYLqPuuHWr22DzaHCmQpCSF4XT7Z;115600;650;63170101;63054501
58;bc1qjpf9dxz2u45t86ssa6c9kz0886xadfkrg473u0;9824230;10;9824230;0
59;bc1qs6py58n8nwgd03al224uyavh59gd3qva3un550;626228;1;626228;0
60;bc1qeuf2wv4syutsu86272hw7ujan9wwhvdfkk5uvg;27207999;3;27207999;0
61;bc1qs9p7705cpvr8z209rv9dv04mu2357m9yv83max;167231;30;2851899;2684668
62;bc1q7hhk6cvmnmyqy8l0q8d239vrn3ftt30r004lej;89276066;110;89276066;0
63;1G9dwhADdYirGoLq2QZRLqCWxMYB1NFpLA;615453;63;44736041;44120588
64;3JmtEc8ofrw6TWTPiMHEg17S4qgKuBrbKa;1858905;1126;262333282;260474377
65;1CK3GFbHYuqaKPqdb6Qb72dWpsH24viYB6;11037;10;2098175;2087138
66;1NXqXQ1pcciWSG3iki3jNcYbCzgeUbLt6R;98529;17;1024112;925583
67;1HeXKmczG6MdYi6jfs3RYSyBayRBETcFh1;761084464;1;761084464;0
68;1J9uDTdcCJYrwSd6ogzFm6qBWBJ8AowViB;505814;1;505814;0
69;bc1q8at0kqywqftfzerdys4zj6hh0hvpz97a47rmldy3q4pqcn42gr6q8ugx4v;71249555;180;91733693;20484138
70;bc1qpl6v4c9a49qmyrjwwncege44ty2f09lk8wa07m;3148293;51;23388529;20240236
71;3ALekPNCZAcrYrzU1iVtzGNviqvhSDdtBu;208547540;106;208547540;0
72;1NJAcy9iuKQi7YphtoRNfEZttRBzNa6itJ;1893841;5;2511657;617816
73;bc1qx6evppp04vphs0hwecstenzwmxspge6k3cpvl0;608614;1;608614;0
74;3Hj7SyKNpcLBqq92qSzw1dtZWfnaq1pFqK;44585;1;44585;0
75;bc1qpuk45p56awz4crhztdhvag2220krsxwphgar6w;93562;34;2500619;2407057
76;bc1qgyhadszpq0jzgt2let9qavxa0fy5g0wchl6l33;237259281;1;237259281;0
77;3JSTiWkECVmXdGDc5WTWFTBBJy8LEMpQFn;510021;91;11015239;10505218
78;bc1pw6s5jqt4m5s8t0wg86xtfphmu624lcfjnarm6398ne8txv27qw3q59ajne;312574;2;312574;0
79;bc1qrj4jdur5nl9h2m0ctdcer7euacgm6cn6t5uj8z;75417429;527;1487137038;1411719609
80;bc1pjz78l6ngkwv7xpe7t3rkkgjd54nmchd3cyvexn0trnu0djcx6y6snza2se;28573;19;467025;438452
81;bc1qldd05telralwe4wvdk9u4wrveu72969tnmll96;1410478;26;2236855;826377
82;bc1phhvqk9mra3kvzfx90ryu60uny8m9rpsn2y3mjg0zqckw57cznumsjmx9fr;1092;1;1092;0
83;bc1qhkpcrrk586zayvcvxvv33aylesxhddqw670648f9cs3ywl24zdrspjx3v6;632579;16;632579;0
84;3JtGe3NBqtRDRoTFKBd3oC6pULxwBf9kMg;367771;1224;983818048;983450277
85;3HiHTRU2WbHUQJtc96gasGUfxVQTwesPJi;46956785;37;46956785;0
86;1Put7N6nWFuMhb4nYKqCn84GKdb1BDDGwS;199089;179;24177758;23978669
87;bc1qusc3682rgcqa9y9uu569q3hrj70dyp5smymnk3;380118;95;16127160;15747042
88;3Bxk7VqHYt1KdBdv2bgR2jnSCzdWNLixBT;1068677;101;48529003;47460326
89;19U7DuyrFBp7aizYnEP1CZ8Ub6MFCyytz5;11037;7;543273;532236
90;bc1q9xm0q7v099758yu9u6qjvl2d78s0t34w92erc3;1077179;6;2478233;1401054
91;bc1qyr0zqqskrvu65qdx3huf782evc5n74t0jrm9jg;658752;5;2005167;1346415
92;bc1q368znnjxn3epp0ue2vglv5hjehm8rx4y8f9q2x;2101677;17;13678708;11577031
93;1JgmkRXwSdBE1JbTinz8GUsgcjoWFE8Bzg;101225;37;10941152;10839927
94;16ciLf1Ccw1vXh9gmSrRm6bDjZNbYEAxi6;90628;41;1960277;1869649
95;1QHbVg9FECQXW2zcBPciTWj5TMNEtnPiei;509252;477;138663001;138153749
96;bc1q3xeum83rnrx82rcxdmsdk7ghe5jxrd0alpmjsa;139461495;85;139461495;0
97;15GjLyZARv3hBbt7iF5WX1GT9QwZwJa14r;21766;103;23878455;23856689
98;bc1qtm297ltvqgpnnlt6jd7m8pzjexh2r03960fape;2158805;4;2158805;0
99;bc1q6r4m8rshpqcj9um66heldkqw9uvc6acg7v8mgd;1182614;10;2764548;1581934
100;bc1qh2g42vclpp9e6yy32r8larj9khysdwq4np5mgm;346732;243;22319552;21972820
101;bc1q3my38em3gjkj8y8tetawapt8hezagczcjz6a7l;15525760;11;15525760;0
102;37BkWhwBUnuW5YDVbbJ76bAg89FLQQjyYS;90301;213;12620154;12529853
103;bc1qwc7vlc3aacx0nczmr0h7c8pdalkacxv7z76ywm;434398;70;7284798;6850400
104;bc1qx44uplrp24la0j96tcw43xmg0wtkxkq3jseml2;229760;114;11023095;10793335
105;1JqhBoBfofvxKxLxbSiekZifUfLsP9B1Li;5133967;42;470918307;465784340
106;bc1qwca4pp3zs9zg5dts9whftl3k8tafjhrj5w6a4p;1249354;449;81018951;79769597
107;bc1qamksg2pl20szzzdq2fv3ssvnmqm9zkesk4lt5f;2045079978;1;2045079978;0
108;bc1qkp8l9nk7q6m5mvu05kkax493rqp8kgxe0hngxx;2591293;114;8785242;6193949
109;1JvpSk5bUfPfCmryjoJU3zGUav8pFoJRK;471908;25;3599520;3127612
110;bc1qssqts9vjnvh7h9u0ctwhqag9earzx0eh7a5cet;2062855;3;2062855;0
111;3JNDDEecDHHXvM5tx4kSvjbFjZSXRBfjX3;91732;2035;103278526;103186794
112;19fCv28sS8r9by15Q38AaWVrhvBLp1hgYi;20339;13;2355156;2334817
113;bc1qwn857sskhku63n85kpum35cur2zz67mphsxuv0;5457642;10;5457642;0
114;3GAuthZnMuk7vyBwWkH3RKiaM3P16SQG4G;15104373;128;217054726;201950353
115;1EXVUnsjthbu4uavULrArvYZiShLxwwBQB;674311;554;65637728;64963417
116;17ysDfL4WPiVikr7unxmbL8r4foeE99Nyx;149868;4;658614;508746
117;bc1qxlhgx95jrekc5kkxgup2d892a3d4ey5et7s0xy;12537070;3;12537070;0
118;bc1q80q3979fra40mfghrenp8aljrz7jdsdgmadlv49j65mjnu72v5lsq8rl25;5235374;39;5235374;0
119;bc1q3m382hlvqyg8z5pt0jhmf7036xuyuen5j93v23l37vkpzrydq8eqswyvuv;3191279;70;7348389;4157110
120;37deidMaSRoZHt8omzh4BKZXjUXUr7hqQK;90309;325;20892580;20802271
121;1NRBu87cbHh7f8x8LS2ygGanYervvHqqzH;507272;9;63306813;62799541
122;bc1q03pdu3nhez7e6aarcm4q6szhe64dayne06a0eg;210866;8;210866;0
123;18ryCBeB3YAeYvGHYfXGfskWQfTT9aUX6q;318738;3;686763;368025
124;13TTQvnYuKT3JHMDk4BTWptirsYxtjigFx;6917308;27;9429915;2512607
125;3EgKRs1woTkFJwRfwuj8PEJXdJWEQrgmji;629871;28;127385348;126755477
126;3PGPbVo2SToaDCSKBZmgxTZ2Dyq76HFH8S;224688201;365;4234477491;4009789290
127;1ExF6JzKP7V6UHhZAk96hokuKgda9v7gP7;168553;362;32953698;32785145
128;13wrZZVKrLFFvNxCaPjWnE6nGsU4AE1UDM;26331;1;26331;0
129;bc1qms86mtavk404r6ahhpl5zgc4tfuyjvnfvlsmes;343837;5;686821;342984
130;3CRPrqroXmdR83q4fBJNS1NR7LB9qYcMFW;516461;48;22825289;22308828
131;19CcmFR1ZZeBL5Gc53NVdM1rRS3NdvSEtr;646695;96;18069102;17422407
132;bc1qwaxn5mrx9eq9x0xw43esgp90acng44l4dax6tm;144203;70;10713779;10569576
133;bc1qd86z3d9lzz7mspn3ach0kq249vwvsrpdff40ch;114653983;1880;2599441938;2484787955
134;bc1qhd8nf7a0lz2r8mafnccyqy4qmrhqm78txk0qfc;2726805;83;58648720;55921915
135;12k2Cw8HqrR46pwQ5bMRM1bib1xhTmy2vm;13446;218;23615909;23602463
136;3NiZr7kHEtDxb7NxFga88oWLr8fR3wq2UT;100884919;394;319488259;218603340
137;3KQa2rGh8aL9Vd62bk2tU7MGfiJTo8SB3U;11890760;1352;83056599;71165839
138;35exHeTbDHtq2u7fd5uSbPowXZQMix2BLx;183945;576;38492285;38308340
139;bc1qjzslmnl2wapx5rg82px9cn5zxp9td2lm324p7v;1899557;88;29011591;27112034
140;3MHTjUbmdFVYVAeTzEiVs3NMTR1XPLwuN1;92923;192;15159950;15067027
141;bc1qn3x0vkwre3tkm7s0c7rqvg78ymjfhwgvk6ypf9;50148888;13;208237224;158088336
142;bc1qhlpd40792wlkll8th7jnds5anxxvtypzs3unlz;99266976;21;99266976;0
143;32fXz7MpHcFnYrfgZpe5kc6wwNPiPsiT1C;365566;25;5399044;5033478
144;1MtUVtg5gd9o4u5v5ZEMNRGdkXmTWVJxpG;91978;27;4660945;4568967
145;1K3jqKQ3AMzRm4ZDnM6ts3ogYDgAtbc3As;8753005;86;23954928;15201923
146;bc1q23fufasww50yuay7uz5zssxu4a9uu93tfxn302;4608110;9;4608110;0
147;bc1qk0ye2rqd42rfdkearcyqq8pyfhxlkvzusy8qjl;25396809;26;25396809;0
148;bc1qqzfypuefvzs36uc90g547h893clxjnp477tzs8;90118;11;540479;450361
149;3F98xK2gvVVopz7cG1vTCe5uuabRNfwu9R;10338;15;2130166;2119828
150;1PDf9r32wQg5S6Kggh1VfHjHqLHZyojucF;90630;44;3922271;3831641
151;bc1qe9mzlefjl2erh3emce4cdq27t3ckfgu3ssarhx;748245;2;748245;0
152;bc1qqhzj7kzcaxskv5vxnnftzks4klwlgcxhs55dc9;371302;6;14142625;13771323
153;bc1qhxk7cxk9xpd3xx9gpjz30uaagevfrcata2yzyf;289592;3;289592;0
154;bc1qkxxksx46jpl98pkmvhkpz2kduzj8fdxm5jrkj2;5349896;10;5349896;0
155;bc1q5aer7g0lll0rhx3apkt8p35nuzhgkzc9mptln5;5646583;50;19557025;13910442
156;3ER3vCXubFZFhu8yjrjF1TTQYr69RqZXvM;6644867;33;19772852;13127985
157;bc1qj30egmuvzreewz7z6vx424sa9vm3ljmnrdex6u;756280;1;756280;0
158;1A77fThnoijUgpP2yaE6C1sCq7G59suvs;100204;219;18319216;18219012
159;1Pejcjsh5fzj8B4pj1sCumbf779rnUqPc3;2696830;6;2696830;0
160;bc1q3uwqv35cm7ysruy9r35akredrt0y9v42m6mjhz;4745687;1;4745687;0
161;3AC1AQcN1ydy2Y8ePzBmXXXuJMCbU9tFZk;602319;593;29442359;28840040
162;3J44YZUzeCbew5gTmSMpRdER7vYychMpNv;104006;17;922877;818871
163;bc1qutp337nrh0z256amz7lng2vvnyqlqhhp7nathn;0;38;10795474;10795474
164;184iLVBExH2dvSpisfvStXacU6U96gGZuv;501806;522;49325912;48824106
165;1MCZ4ehQaTTJ6kxxPPsnG7kKfAaq4fKcM2;517345;189;47917727;47400382
166;1Gk6U5VCBqvjXixYRFdG6Z5Wt1RpZZejL7;20968;97;4245433;4224465
167;bc1qjw8f88kqn8e4c5vrvyn07y900xrstcnsemanyg;584223341;1006;904205654;319982313
168;bc1q8m8464eshw2ucdexk0q2nl8f005axqklpj97fd;2851021;81;42538771;39687750
169;bc1qtqzgfeyzfkkfxespl0mjvj458v0trgzgz8fa58;213283;5;213283;0
170;bc1qsag854kfwy56fnf0epxp0lltymtfhhkh4w66c2;810139;254;16919991;16109852
171;bc1qr683qt3az4c7vhxyzlyrdscjsygdt2ggtzwvg9;1035939;2;1035939;0
172;3Mc6SNEzWLjbtjieXCL2tGJsSyrhzvwb5R;1536233;5;43023566;41487333
173;1cWUjK8VVve7W4ovzLJP6KQeGXLf3jNTb;91725;306;36502353;36410628
174;bc1qerylmm7pkw3r5j6fn6x6kdk5kwyzdrkneak3l2;78297194;8;78297194;0
175;bc1qz5sjq0u7t8ajdmt2unvs376rqxfsdf0zaymj6x;507443;12;7995975;7488532
176;3LcUJZ1G7tEbbZSJZ7s59ckV4sqz29ef79;646754;148;12746201;12099447
177;bc1qq2lwmu9k6zecledpmwweyse5cytl28lu6glrfd;1819730;18;1819730;0
178;32PLNbqCs7kQccTWDeYBuyWCuuENHW3Nc1;8145019;98;9132167;987148
179;3HNb8Vp1uoiGoTMJJHStZBazh5kCAnWeXb;3827976;519;132515598;128687622
180;1EwMLjzU6xuccf8VJDLhAxVrK2iWkMKmSE;129207;287;31354784;31225577
181;bc1q0l2xrf5u6tclghnrn74hy8awdr0328muqv4gmy;2090749;22;8870371;6779622
182;1FG3JSChte2nhfBdmowfKaVzfeBvRynXMd;90405;949;50005152;49914747
183;3PMwrXQrc1VdF4yrCtJRmsXkwbrrocXxmz;3306539519;374;38085101683;34778562164
184;1Kn5L62Msw3EH6puj3ietXVVX39Df9gSQJ;7581858;252;22836728;15254870
185;bc1q7td85yevxnvew664z5tsvnhsdhs8xwnjlt78ag;15446467;19;15446467;0
186;bc1q4gj80ke5u0vjs5dqw7ew84q3a4hnj9xsl2epr3;695192;115;22221349;21526157
187;bc1qlk6m9c70tl5eq2fg3plxyhy02gu948vfcledph7sv0fcl4aypx6szat9ta;748515;87;5487685;4739170
188;bc1qprqmjq55fcfem97mt7gpufq5a84un7qdu0aaws;6323320;12;6323320;0
189;bc1q07wquhtthqwemndlcyzws2pjvgtxdhhnlqple7;659438;139;79431254;78771816
190;1ff52RwtxfnQp25zcpgqUj5xUEs4tKUiA;3132310;11;5226266;2093956
191;3NKsgvDMSYhNzzbz75K2wdFrxnxEbufYKg;510088;21;5105596;4595508
192;bc1qs7jnfw5vcqy22pw9s6fjmpz5gl2tt8tfcwkf44;625282;135;92285426;91660144
193;bc1q0le6a8z6fwm4k09kgqzhzmclrrul48xm4x7gvs;5630208;422;189403801;183773593
194;bc1qnuqwjxsvjcgksujjp9jdugrrnuu5u4pysaju6r;91443;192;15391868;15300425
195;1LMxKGSqCKra4P9ze9eunGHGrnaCHfdGTf;388645;6;897236;508591
196;bc1qyxxtg8xj9g5z5k8nehq9eftjl7uvs2phr8ak4l;1267053;52;34498878;33231825
197;bc1q5hryapkuwspsjyurekrul488236yc2uugax045;425191;3;951605;526414
198;3ED2KvGrvWscHhUBqbeNAZwQaSZVZTRau9;388055;349;20494040;20105985
199;1PguaCTFQ8qNz6e6soWDcH9buVYCuufwz6;118476;195;9801921;9683445
200;1HQocwUrqAyoPm7VP65Shg5zGihSCaerLj;152879;78;76684577;76531698
201;1FszF7PxRg1iZhbygCPDXRFBbeYWHi2Zr4;2618793;5;2618793;0
202;bc1q90vlwqpflrlp9gajnlu7aa5905cr9uqha8ryxg;56456648;29;62339796;5883148
203;bc1q0jrdr4vwyc399z7v2vr3pzszuu9kmmq978rq8z;562655;11;562655;0
204;bc1q50r2xggkqe3flgjldlh038w9flwe6xjcscrf9v;119588;12;8904226;8784638
205;bc1qwr6h2y0ktku8kfsm7wu2mx0x8h5d35turl9ktp;0;2;7738479;7738479
206;bc1qdvn7nndgvhmq2dhhytwpw5623wycjk023k2mau;11154056;31;68628655;57474599
207;bc1qpkmeelp6uuemlkf5l6eqx4sswnxa3ceqejd3k9;50547;38;8472675;8422128
208;18AZQXDAubdaGHQrpUFsMZuxkCsCx1zJbs;655864;7;3001506;2345642
209;3CFS6H1S4M6F6jDAx1ir3Pvt2Cc8t3imgQ;19415892;55;19415892;0
210;bc1qj8w4g33x2f2mn9z5wxfy9nf73h8cwwav8ma7uv;799818;5;2589924;1790106
211;3DkBmeN7C28t2Fss8ScNCVn3Y1sMJRNDqC;375527;36;3073481;2697954
212;bc1qykyzyrtduma0ajdal9wur8kr0gpd8em0mkcepk;3079634;15;31891702;28812068
213;bc1qlp2ncdajtlz77havq0efrczc8a9wuqxff488m0;211628;24;7443405;7231777
214;bc1q80gq7v2zeq7ezpgjpzv55s9h4r9jqyc79gjz5s;444576;4;444576;0
215;bc1qr6pauy5hq07dlfcc6rcpr35u8tkl7qrk3j89fj;265002;1;265002;0
216;1CGyDBngVrksfRm4Kp3VKxMoVuA4pi5dLe;471872;702;162692822;162220950
217;3MX7yDhLxyWMfgaGxk4JrMDcwFKP8cMYBv;5065185;559;55353319;50288134
218;15uV84KFFgFPQth3r5mruGft7mnGfQ8wmK;98594;2;98594;0
219;bc1q8fuqmgc2ywu5k4d5v3je5qapy0e0zxzn8hvjffxl8j6f05lph57qd4vyyu;5245553;38;5245553;0
220;36Z4yJxS4yegwqmPeKzib7AARUDSJcf5Mm;192849;32;3162469;2969620
221;3N2QT9WY8nXKfVqKzGZMP7AkWBT7wM8eZM;517597;11;3162486;2644889
222;3GgvXNzs7qj9q3e3ASAG7XBLmodb45G3Vv;335012;9;1027761;692749
223;35mVhF3BYPttnay6UNmbXkYpWDRMS3SxpT;2043005;839;388816582;386773577
224;bc1q0w5e2m4r0lwwh69nhtnszxl0euy7w2eje9edzc;65411;1;65411;0
225;bc1qudnxk0qdhpt5magauf2mk578hfx899h0jz5stq;1052721;9;1052721;0
226;1BDQkJ3v42nVQYLhWirDfJ1hZy5fyWqxjc;32041;2;32041;0
227;bc1qpr7lf27x6mwdl9waedk3uey0e0e90nskuxdava;20755129;32;20755129;0
228;1PXAnwT5Zj2duiFgLcb7VzsKnPupUpMVm4;510024;83;97434856;96924832
229;1BsYx575Dc67y1t1XEpiiHLgj2bE3yFvsZ;305970;53;49274453;48968483
230;bc1qe452cdv4x56tvxyf5dhjvhhf9yx0js5klj7r49;276338;3;276338;0
231;13Z4MbhhVAtoLj47utuxVeUQd3RfmxM4xb;1432422;115;128315790;126883368
232;3KDpn4KgzUDpjDA5LKjM2rd1bpL8r2pgwe;80141110;922;104238862;24097752
233;39Xad3HVZekZcQd8KtEL5HoyNr3b2WbECu;31600594;219;88139585;56538991
234;bc1qdh6zfm9803eq82dmaj2fh75u6yrxkn4v5hc8hf;2560910;5;2560910;0
235;1Qun9R3A2ETZaKvn4sSP5zpWtgCCYbL4M;93459;133;23233327;23139868
236;bc1qdd27r090h78avmvcpda59a929nv4e758f0zsps;39079;1;39079;0
237;bc1qwyt58lfqqwh6vaqsfaflej563lepehnyv3yzdp;35013859;236;35013859;0
238;bc1qwxpdgvcgdnejdz5ht2csxr0f0gd2vg6zy6f759;8583005;41;12824220;4241215
239;321NrQvgBJbKz61eN9XDxM54CkHgGNotXw;469466199;368;469466199;0
240;bc1qcqurn7lxr4tghd5zhn0vz4d075z2qnkawhk8y4;82173952;92;82173952;0
241;1EcRxhKuRottAZdKohoeiHkd2fQJja9tJs;10118;1;10118;0
242;bc1qrr7ggl98tth0caju5xpyj4m2plv0m0k55t7ea9;3355864;46;32116516;28760652
243;17zZmC4i3XuMVxZdGXFkSSwmWvh62AFHDg;17027;11;73731;56704
244;bc1q83dua30vtagzatwpyhd5v4z2m5rujmd4702sln;3798838;143;13698095;9899257
245;bc1ql4lgmwseh2tmnwx8rxac5c2dathfdzap3ejgt2;472698928;1;472698928;0
246;3FY9ZjyFbSQxCMd7KcapSQZCUmQzFJr3b6;2323208;225;38410058;36086850
247;34JfNwXKy9AaqzLUfacaUa1GVsE2SytdKC;501319;16;61541141;61039822
248;1QHCwiUhhDPNMhMfJW6LRSxMd9rcE7Z6jX;653446;67;50702736;50049290
249;bc1pm9ecqqzlrgvz9tcx6c3lww9q66qwy3khakghre8yt58akhwhkxeq3rygsv;0;2;2605410;2605410
250;32vU2jsNnYB2hJmUPWSwj4dzEPVj3Yndqm;7595270;9;22295905;14700635
251;bc1pmnj06mptk9dm5vlmpzdqscsyqedg4ym0pl0uuxdtzx6wqty4uwasuq758q;10000;1;10000;0
252;bc1qus9j3ye8exa3xjdu9xg6s07hnag5qsju9crwaj;586743;223;783885015;783298272
253;bc1pse842w7tagxgst27pxj7zp2cwfzp369gjgwek8dnsnv8h4hqzw0s0rekgu;275238;179;281244;6006
254;bc1p8zq292cesavzl2ma0cvr2vlcgqed8ems93n2yu0phtyjkzas89aq8vt795;0;2;211546;211546
255;bc1pmpt3je7r0w9khh4glltevgr364fywanzz9k23ujamkkue8mhlypqpatxy0;0;20;21039954;21039954
256;bc1pmmula6ytdnsrdxjvah5m9zqgqqx99rax2ye0cqkd4ahw3t0glvas3jtm6d;10000;1;10000;0
257;bc1p0gcx8dh59vu4l502rg5k43hmqpvlx4zusylnq8ncefh8xezjj39svx3khg;16258;1;16258;0
258;bc1p5njxcmysjgpqzkazcktjr75s5h7kguc65jjnhz6hsrz0pq6u7q6qtn2w7p;176232;1;176232;0
259;bc1pvdpwclwrlsu8lcrzsrr8rj8fhnpaytd8tlky7cmmcql5082xvt7srx7hd8;6388698;21;98998353;92609655
260;bc1pxm8xns9d5nnfuw0cewrrcq47j0gt974nmg620jkksqxdn7uvft7qkmqrmq;2306946;752;731086721;728779775
261;bc1pwazu8tx6vkukjhljtdx5apycs36a7x937xu3cmatgnjpjsgk09eqx948au;10000;1;10000;0
262;bc1pufn70hclzm48mwagwqlh0xwax867hzyvelgm0usada9mh58ju0vq6wm79p;10000;1;10000;0
263;bc1pwhlz6gq34f6tfpgcxa2qvsphslzt7rclkzdtzrqfdfphpkyruzqqqw7qza;3199092;1;3199092;0
264;bc1pxuqj2k8uk86h6pw34d2rf6t6vj3m3826yasphe9t0hwfrylmr8fqql8pgw;10000;1;10000;0
265;bc1p6dc5vknfc2k5na7l567804fwn2xtnvzjyzs8ft4ldgdq7e5geu6s5jv9nn;10000;1;10000;0
266;bc1pemwaqp990ynfcl9r8fam6762jtgp5537vaathns8c978avmf3xcqgy5c9a;152454;1;152454;0
267;bc1p5j3y5rn7t6yk9t4h2k7497cz83knsz279xhcv3d4n3eyxc5kuhvqytt58k;0;2;476345;476345
268;bc1plmhw6ep0ndfy9ksp4nd9s3fq2dkfcdx0kskj60v4wjya2mcg0masv2nkcu;10000;1;10000;0
269;bc1pvr6pvhurhsmfakr2r7a0m8lc3krunghe8lq4vumeprkrqmz8dmlsc5zmev;3684;1;3684;0
270;bc1p4vctj8r7560s8wm7l3z2cml79gj40xh6hz0mky3tf6aqj7ws7pvq394qve;0;2;20000;20000
