;price_24h;volume_24h;last_trade_price;symbol1;symbol2
65;0.06478;0.0;0.06478;TFUEL;USDT
66;131.407;26.97815138;138.715;SOL;USDT
67;0.049212;0.11715693;0.049102;ETH;BTC
68;0.007;0.0;0.007;WDGLD;BTC
69;0.55;0.0;0.55;CELO;USDT
70;1.017;0.0;1.0169;USDC;EUR
71;1.59;0.0;1.59;XTZ;USDC
72;65414.55;0.0;64788.57;WBTC;USDT
73;1032.03;0.0;1032.03;MKR;USDC
74;13.186;47.18032084;13.9;LINK;USD
75;79.31;2.13317622;80.26;LTC;USD
76;0.14037;259.05;0.13401;DOGE;USDT
77;0.10872;0.0;0.10877;GRT;USDC
78;0.411;2.984;0.4071;CRV;USD
79;52.2;0.29238361;50.68;COMP;USD
80;0.99;0.0;0.99;CEUR;EUR
81;1.2486;1414.7955;1.2425;GBP;USD
82;0.0;0.0;0.005827;LTC;BTC
83;0.148;0.0;0.148;EFI;USD
84;0.0;0.0;0.0;EOS;USDT
85;0.999;0.0;0.999;DAI;USDT
86;32.136;0.0;32.133;SOL;USDC
87;48957.98;0.17282096;49906.5;BTC;GBP
88;1.0005;0.0;1.0005;USDC;USD
89;3124.34;0.15811874;2887.66;MKR;USD
90;3.7085;0.0;3.7085;SNX;USDT
91;0.0;0.0;0.0;LTC;TRY
92;4.1661;0.0;4.1661;UMA;USDT
93;61634.1;0.0;61634.1;WBTC;USD
94;3.803;0.0;3.803;UMA;USD
95;5.215;0.0;5.215;UNI;USDC
96;0.77;3.52717494;0.77;CELO;USD
97;1.0949;0.0;1.0931;THETA;USDC
98;74.36;5.02609152;71.9;LTC;EUR
99;2.3583;0.0;2.3595;SNX;USDC
100;0.9901;0.0;0.99;WDGLD;DGLD
101;2.106;0.425;2.106;THETA;USDT
102;0.09659;0.0;0.09659;GRT;USDT
103;6.59;0.43083311;6.31;DOT;USD
104;1.0674;3824.2571;1.0609;EUR;USD
105;0.9;0.0;0.9;XTZ;USD
106;8.29;0.0;8.29;USDT;TRY
107;0.21162;0.0;0.21162;RARE;USDT
108;56.4;0.0;56.4;COMP;USDT
109;1.0002;24367.2448;1.0003;USDT;USD
110;0.0;0.0;0.4854;LEND;USDT
111;0.85;0.0;0.84;CELO;USDC
112;0.0;0.0;0.0;USD;EUR
113;2410.64;0.75936532;2451.48;ETH;GBP
114;0.22;0.0;0.22;OGN;USD
115;0.3452;0.0;0.3452;ZRX;USDC
116;0.05842;0.0;0.05842;TFUEL;USD
117;0.4401;2608.23559446;0.427;ADA;USD
118;0.23405;661.9863921;0.23405;BAT;USD
119;0.4299;4.72625424;0.4258;ADA;USDT
120;120.89;0.0;120.89;AAVE;USDT
121;5.962;0.0;5.982;APE;USDC
122;1.0003;0.0;1.0003;USDC;USDT
123;0.0;0.0;219.41;ETH;PAX
124;0.0;0.0;358.46;BCH;USDT
125;0.34513;0.0;0.34513;ZRX;USDT
126;0.22;16.16202021;0.22;CUSD;USD
127;0.0;0.0;0.3614;ALGO;USDT
128;0.995;0.0;0.995;SUSHI;USDC
129;0.4435;0.0;0.4435;ENJ;USD
130;0.0;0.0;73.28;LTC;USDT
131;0.7664;0.0;0.7664;DAI;GBP
132;0.136;0.0;0.136;EFI;USDC
133;57883.05;0.42764066;58692.44;BTC;EUR
134;0.9599;21973.2;0.9399;USDT;EUR
135;163.1;0.0;163.1;DGLD;USD
136;0.0;0.0;0.0;EOS;USDC
137;8477.0;0.0;8241.02;YFI;USDT
138;0.01;0.0;0.01;WLUNA;USDT
139;0.30455;0.0;0.30455;RARE;USD
140;1.477;0.0;1.477;SUSHI;USDT
141;0.21139;0.0;0.21139;RARE;USDC
142;48.89;0.0;48.42;COMP;USDC
143;0.171;259.603;0.1701;ENJ;USDT
144;1.0024;0.0;1.0024;CUSD;USDC
145;0.0;0.0;74.03;LTC;PAX
146;0.752;0.0;0.752;MATIC;USDC
147;0.0;0.0;0.9444;PAX;EUR
148;0.0;0.0;0.0;NEAR;EUR
149;106.0;2.59030942;85.01;AAVE;USD
150;61345.78;0.06098676;60282.06;BTC;USDT
151;5.1;0.27411204;5.1;DOT;GBP
152;0.001;0.0;0.001;WLUNA;USDC
153;158.0;6.17739967;133.477;SOL;USD
154;1.771;0.0;1.771;APE;USDT
155;2985.52;2.52002219;2893.32;ETH;USDT
156;0.35948;0.0;0.35948;ZRX;USD
157;0.4406;0.0;0.439;ADA;USDC
158;0.701;69.18277947;1.5;MATIC;USD
159;1.377;1.386;1.377;SUSHI;USD
160;0.0;0.0;0.0;NEAR;USDT
161;0.9991;0.0;0.9991;DAI;USD
